RESPUESTAS
PREG RESP PREG RESP PREG RESP PREG RESP PREG RESP
1 A 135 D 269 A 403 C 537 A
2 D 136 B 270 C 404 A 538 A
3 C 137 D 271 D 405 D 539 C
4 D 138 B 272 C 406 B 540 B
5 B 139 A 273 D 407 C 541 D
6 C 140 B 274 A 408 B 542 C
7 B 141 A 275 D 409 C 543 B
8 D 142 B 276 B 410 D 544 D
9 A 143 A 277 D 411 A 545 A
10 D 144 C 278 A 412 B 546 C
11 D 145 A 279 C 413 B 547 B
12 B 146 A 280 C 414 C 548 A
13 A 147 B 281 C 415 A 549 A
14 C 148 A 282 A 416 D 550 B
15 C 149 D 283 D 417 C 551 B
16 B 150 C 284 D 418 C 552 A
17 C 151 B 285 A 419 C 553 B
18 B 152 B 286 B 420 D 554 B
19 B 153 A 287 A 421 C 555 C
20 B 154 B 288 D 422 C 556 B
21 A 155 C 289 A 423 D 557 D
22 A 156 C 290 B 424 C 558 C
23 D 157 B 291 B 425 B 559 B
24 C 158 A 292 B 426 A 560 C
25 D 159 B 293 A 427 C 561 A
26 A 160 A 294 C 428 B 562 C
27 C 161 B 295 A 429 A 563 A
28 C 162 B 296 A 430 A 564 D
29 D 163 B 297 A 431 C 565 D
30 A 164 A 298 B 432 D 566 A
31 C 165 C 299 B 433 D 567 C
32 A 166 D 300 B 434 D 568 D
33 D 167 C 301 A 435 A 569 B
34 B 168 B 302 D 436 D 570 B
35 B 169 A 303 D 437 B 571 A
36 A 170 C 304 D 438 B 572 D
37 C 171 B 305 A 439 B 573 C
38 B 172 A 306 D 440 A 574 D
39 D 173 D 307 B 441 C 575 A
40 D 174 C 308 C 442 A 576 A
41 B 175 B 309 A 443 C 577 B
42 B 176 A 310 C 444 D 578 D
43 A 177 B 311 B 445 A 579 D
44 B 178 C 312 A 446 B 580 C
45 A 179 C 313 B 447 A 581 C
46 B 180 A 314 C 448 C 582 C
47 C 181 B 315 C 449 C 583 D
48 A 182 D 316 A 450 B 584 B
49 D 183 B 317 B 451 B 585 C
50 D 184 A 318 B 452 C 586 A
51 D 185 D 319 B 453 B 587 B
52 C 186 C 320 B 454 C 588 A
53 C 187 C 321 C 455 C 589 D
54 A 188 B 322 A 456 B 590 C
55 B 189 A 323 B 457 C 591 B
56 C 190 D 324 B 458 B 592 C
57 A 191 A 325 B 459 B 593 A
58 A 192 A 326 B 460 A 594 D
59 C 193 A 327 A 461 B 595 C
60 B 194 D 328 A 462 C 596 D
61 B 195 B 329 D 463 A 597 D
62 D 196 B 330 D 464 B 598 C
63 D 197 B 331 A 465 A 599 C
64 C 198 C 332 B 466 A 600 C
65 C 199 C 333 C 467 C 601 A
66 B 200 D 334 C 468 B 602 C
67 B 201 D 335 B 469 C 603 D
68 C 202 D 336 D 470 C 604 A
69 B 203 D 337 D 471 D 605 C
70 B 204 C 338 D 472 D 606 A
71 C 205 A 339 B 473 B 607 B
72 D 206 D 340 D 474 B 608 D
73 B 207 B 341 C 475 D 609 B
74 C 208 A 342 A 476 B 610 D
75 D 209 A 343 A 477 D 611 D
76 A 210 C 344 A 478 D 612 D
77 C 211 C 345 A 479 B 613 A
78 B 212 A 346 C 480 A 614 D
79 B 213 B 347 C 481 B 615 B
80 C 214 C 348 B 482 A 616 B
81 B 215 D 349 A 483 C 617 B
82 C 216 A 350 D 484 D 618 D
83 A 217 B 351 C 485 C 619 A
84 A 218 B 352 C 486 D 620 C
85 B 219 B 353 A 487 B 621 D
86 A 220 C 354 B 488 D 622 C
87 B 221 B 355 D 489 A 623 D
88 D 222 C 356 A 490 B 624 B
89 A 223 C 357 C 491 C 625 D
90 D 224 A 358 A 492 B 626 B
91 A 225 D 359 B 493 D 627 A
92 D 226 C 360 A 494 D 628 A
93 C 227 A 361 C 495 D 629 D
94 D 228 A 362 B 496 A 630 B
95 B 229 B 363 B 497 B 631 C
96 C 230 A 364 C 498 A 632 A
97 A 231 B 365 C 499 B 633 A
98 C 232 C 366 A 500 B 634 B
99 A 233 B 367 C 501 C 635 D
100 B 234 A 368 D 502 B 636 A
101 D 235 C 369 B 503 A 637 B
102 A 236 C 370 A 504 B 638 A
103 B 237 B 371 C 505 D 639 A
104 C 238 A 372 A 506 B 640 A
105 B 239 C 373 C 507 C 641 B
106 B 240 A 374 A 508 A 642 D
107 D 241 A 375 C 509 D 643 C
108 A 242 C 376 B 510 D 644 A
109 C 243 A 377 D 511 C 645 B
110 C 244 C 378 C 512 D 646 A
111 C 245 C 379 A 513 C 647 A
112 A 246 D 380 C 514 B 648 B
113 C 247 D 381 C 515 B 649 C
114 A 248 A 382 D 516 D 650 B
115 C 249 D 383 B 517 A 651 C
116 C 250 C 384 A 518 D 652 A
117 A 251 B 385 C 519 C 653 A
118 C 252 C 386 B 520 D 654 B
119 B 253 D 387 B 521 A 655 C
120 D 254 A 388 B 522 B 656 A
121 D 255 C 389 A 523 C 657 C
122 A 256 C 390 A 524 A 658 B
123 C 257 B 391 D 525 A 659 C
124 C 258 A 392 C 526 C 660 C
125 D 259 D 393 D 527 D 661 A
126 A 260 C 394 D 528 C 662 A
127 B 261 A 395 A 529 A 663 A
128 B 262 C 396 C 530 D 664 C
129 B 263 C 397 C 531 D 665 D
130 D 264 B 398 B 532 B 666 A
131 C 265 D 399 B 533 B 667 B
132 D 266 A 400 D 534 D
133 A 267 B 401 D 535 A
134 C 268 C 402 A 536 B
